ISBN,Authors,Titles
0140147446,Anita Brookner,Providence
0140147470,Anita Brookner,Hotel Du Lac
0140147551,Robertson Davies,The Deptford Trilogy: Fifth Business/the Manticore/World of Wonders
014014756X,Robert Kee,The Green Flag: Ourselves Alone (Penguin History S.)
0140147683,Peter Mansfield,The Arabs (Penguin History)
0140147713,Rose Tremain,Sadler's Birthday
014014773X,Tim O'Brien,The Things They Carried (Contemporary American Fiction)
0140147748,Wallace Stegner,Collected Stories of Wallace Stegner (Contemporary American Fiction)
0140147756,Joel Makower,The Green Consumer Supermarket Guide
0140148124,Bapsi Sidhwa,Crow Eaters
0140148426,Peter Robinson,Past Reason Hated
0140148450,Louie Anderson,Dear Dad: Letters from an Adult Child
0140148469,Buford Bill,Granta 35: The Unbearable Peace (Granta (Viking))
0140148523,Jane Langton,The Transcendental Murder: A Homer Kelly Mystery (Penguin Crime Monthly)
0140148590,Garcia Marques,The General in His Labyrinth (Penguin Great Books of the 20th Century)
0140148604,Robert J. Collins,"Japan-Think, Ameri-Think: An Irreverent Guide to Understanding the Cultural Difference Between Us"
0140148620,David B. Feinberg,Spontaneous Combustion
0140148752,David Wells,The Penguin Book of Curious and Interesting Puzzles (Penguin Science)
0140148795,Blanche d'Alpuget,Turtle Beach
0140148981,Beverly Coyle,The Kneeling Bus (Contemporary American Fiction)
014014899X,Henry Kisor,What's That Pig Outdoors: A Memoir of Deafness
014014904X,Jessica Hagedorn,Dogeaters (Contemporary American Fiction)
0140149074,Mary Gordon,The Rest of Life: Three Novellas (Contemporary American Fiction)
0140149090,Ferdia MacAnna,The last of the high kings
0140149155,A Finlayson,Card Tricks
0140149295,Rubin Carter,The Sixteenth Round: From Number 1 Contender To #45472
0140149708,Milligan,Peace Work
0140149872,Isabel Huggan,You Never Know
0140149880,Bill Griffith,From A to ZIppy: Getting There Is All the Fun (Penguin Graphic Fiction)
0140149899,Joe Keenan,Putting on the Ritz
0140149902,Carol Shields,The Republic of Love
0140149937,Erika Friedl,The Women of Deh Koh: Lives in an Iranian Village
0140149945,Thomas Berger,Orrie's Story
0140150021,John Steinbeck,The Portable Steinbeck. (Penguin Great Books of the 20th Century)
0140150056,Robert O. Ballou,The Portable World Bible (Viking Portable Library)
0140150080,William Shakspeare,"The Portable Shakespeare: Seven Plays, the Songs, the Sonnets, Selections from the Other Plays (Viking Portable Library)"
0140150129,Edgar Allan Poe,Portable Poe (Penguin Classics)
0140150188,William Faulkner,The Portable Faulkner (Penguin Classics)
014015020X,Mark Twain,Portable Mark Twain (The Viking Portable Library)
0140150269,William Blake,The Portable Blake (Viking Portable Library)
0140150285,D. H. Lawrence,Portable D.H. Lawrence (Viking Portable Library)
0140150315,Henry David Thoreau,The Portable Thoreau (Penguin Classics)
0140150323,Alighieri Dante,The Portable Dante (Viking Portable Library)
0140150331,Joseph Conrad,The Portable Conrad (Viking Portable Library)
0140150404,Plato,Portable Plato (Viking Portable Library)
0140150412,Voltaire,The Portable Voltaire
0140150447,John Milton,The Portable Milton (Viking Portable Library)
0140150579,Miguel De Cervantes Saavedra,The Portable Cervantes
0140150617,James Bruce Ross,The Portable Renaissance Reader
0140150625,Friedrich Nietzsche,Portable Nietzsche (Viking Portable Library)
014015065X,Moses I. Finley,"The Portable Greek Historians: The Essence of Herodotus, Thucydides, Xenophon, Polybius (Viking Portable Library (Paper))"
0140150684,Stephen Crane,The Portable Stephen Crane (Viking Portable Library)
0140150692,Gordon S. Haight,Portable Victorian Reader (Viking Portable Library)
0140150706,Carl Gustav Jung,Portable Jung (Viking Portable Library)
0140150714,Arthur Miller,Portable Arthur Miller
0140150749,Dorothy Parker,Portable Dorothy Parker (Viking Portable Library)
0140150773,Frederick W. Turner,The Portable North American Indian Reader (Viking Portable Library)
0140150781,Walt Whitman,The Portable Walt Whitman (The Viking Portable Library)
0140150803,Thomas Jefferson,The Portable Thomas Jefferson (Viking Portable Library)
0140150811,Geoffrey Chaucer,The Portable Chaucer (Viking Portable Library)
0140150900,George Bernard Shaw,The Portable Bernard Shaw (The Viking Portable Library)
0140150919,Leo Tolstoy,The Portable Tolstoy (The Viking Portable Library)
0140150927,Niccolo Machiavelli,The Portable Machiavelli
0140150935,Oscar Wilde,The Portable Oscar Wilde (Viking Portable Library)
0140150943,Ralph Waldo Emerson,The Portable Emerson (Viking Portable Library)
014015096X,Eugene Kamenka,The Portable Karl Marx (Viking Portable Library)
0140150978,Rudyard Kipling,The Portable Kipling (Viking Portable Library)
0140151028,Ann Charters,The Portable Beat Reader (Viking Portable Library)
0140152113,Bill Buford,Granta 38: We're So Happy! (Granta (Viking))
014015227X,John L'Heureux,The Clang Birds: A Novel (Contemporary American Fiction)
0140152393,Robert N. Charrette,Shadowrun (Roc S.)
0140152571,Jennifer Johnston,The Invisible Worm
0140152601,Carl Van Doren,Benjamin Franklin
0140152628,Dan Shaughnessy,The Curse of the Bambino (Penguin Sports Library)
0140152741,Don DeLillo,Mao II
014015275X,J.P. Smith,The Discovery of Light (Contemporary American Fiction)
0140152822,Carol Shields,The Orange Fish
0140152989,Mordecai Richler,Solomon Gursky Was Here
0140153004,Donald Barthelme,Sixty Stories
0140153179,Lawrence Durrell,The Alexandria Quartet: Justine/Balthazar/Mountolive/Clea/Boxed Set
0140153195,Lawrence Durrell,Justine (Alexandria Quartet)
0140153209,Lawrence Durrell,"Mountolive (Durrell, Lawrence. Alexandria Quartet.)"
0140153217,Lawrence Durrell,"Balthazar (Durrell, Lawrence. Alexandria Quartet.)"
0140153225,Lawrence Durrell,"Clea (Durrell, Lawrence. Alexandria Quartet.)"
0140153349,Anne LaBastille,Woodswoman
0140153470,H.J. Rose,Handbook of Greek Mythology
0140153586,Stephen Dobyns,After Shocks/Near Escapes
0140153675,Bel Mooney,Lost Footsteps
0140153721,William Trevor,Two Lives: Reading Turgenev and My House in Umbria
014015373X,John Ralston Saul,Voltaire's Bastards : The Dictatorship of Reason in the West
0140153772,Diane Noomin,Twisted Sisters: A Collection of Bad Girl Art (Penguin Graphic Fiction)
0140153810,Nancy Hathaway,"The Friendly Guide to the Universe: A Down-To-Earth Tour of Space, Time and the Wonders of the Cosmos (The Friendly Shakespeare)"
0140153896,Tennessee Williams,Five O'Clock Angel: Letters of Tennessee Williams to Maria St. Just 1948-1982
014015390X,Carolyn Cassady,"Off the Road: My Years With Cassady, Kerouac and Ginsberg"
0140153918,Dean Rusk,As I Saw It
0140153942,Denis Healey,Time of My Life
0140154000,Myron Beck,Dog Tales: Classic Stories About Smart Dogs
0140154027,Charles Neider,Mozart and the Archbooby (Contemporary American Fiction)
0140154078,Paul Auster,The Music of Chance
0140154116,Frederick S. Calhoun,"The Lawmen: United States Marshalls and Their Deputies, 1789-1989"
0140154418,Wallace Earle Stegner,All the Little Live Things (Contemporary American Fiction)
0140154469,Jack Agueros,Immigrant Experience the Anguish of Becoming American: The Anguish of Becoming American
0140154515,Gregg Easterbrook,A Moment on the Earth: The Coming Age of Environmental Optimism
0140154760,Paul Theroux,Travelling the world: The illustrated travels of Paul Theroux
0140154787,Glenn Dakin,Temptation (Penguin Graphic Fiction)
0140154957,J. M. Roberts,The Penguin History of the World (Penguin History)
0140154973,Celia Brayfield,Harvest
0140154981,Celia Brayfield,White Ice
0140155031,James Joyce,"Portrait of the Artist As a Young Man: Text, Criticism, and Notes (Viking Critical Library)"
0140155058,James Joyce,"Dubliners: Text, Criticism and Notes (Viking Critical Library)"
0140156003,Jeremy Paxman,Friends in High Places: Who Runs Britain?
0140156011,Harry Mulisch,Last Call
0140156038,Charles Handy,Understanding Organizations
0140156046,Don DeLillo,Libra (Contemporary American Fiction)
0140156062,Stephen Dobyns,Saratoga Headhunter
0140156070,Ivan Doig,"Ride With Me, Mariah Montana (Contemporary American Fiction)"
0140156097,John Clifford Mortimer,Rumpole a LA Carte
0140156119,Jay Ingram,"Talk, Talk, Talk"
0140156151,Michael White,Stephen Hawking a Life In Science
0140156232,Leonore Fleischer,The Fisher King
0140156283,Charles Baxter,A Relative Stranger: Stories (Contemporary American Fiction)
0140156291,Beverly Donofrio,Riding in Cars With Boys: Confessions of a Bad Girl Who Makes Good
0140156712,Elisabeth Bumiller,May You Be The Mother  Of  A Hundred Sons
0140156801,V.S. Naipaul,India: A Million Mutinies Now
0140156828,Roald Dahl,Boy
0140157077,Joseph Caldwell,The Uncle from Rome
0140157085,Mario Vargas Llosa,In Praise of the Stepmother
0140157115,John Mortimer,Dunster
0140157204,"Judith, Ph.D. Sills",Excess Baggage: Getting Out of Your Own Way
0140157220,Suzanne Farrell,Holding on to the Air: An Autobiography
0140157336,Philip Kerr,The Penguin Book of Lies
0140157352,Roger Fisher,Getting to Yes: Negotiating Agreement Without Giving In
0140157409,James Fenimore Cooper,The Last of the Mohicans
0140157565,Gabriel Garcia Marquez,Collected stories
0140157611,Gemma Hussey,Ireland Today
0140157654,Reinaldo Arenas,Before Night Falls
0140157875,Stefan Rudnicki,The Actor's Book of Monologues for Women: From Non-Dramatic Sources
0140157913,Scott Rice,It Was a Dark and Stormy Night: The Final Conflict : Yet More of the Best (? from the Bulwer-Lytton Fiction Contest)
0140157956,Adam Hochschild,The Unquiet Ghost: Russians Remember Stalin
0140157972,Johan Goudsblom,Fire and Civilization
0140158014,Michael Leunig,Ramming the shears: A collection of drawings
0140158073,Roald Dahl,Collected Short Stories of Roald Dahl
014015809X,John Updike,Rabbit Omnibus Uk
0140158243,Dan Kavanagh,Duffy Omnibus
0140158340,Jane Dentinger,Dead Pan: A Jocelyn O'Roarke Mystery
0140158359,Jane Dentinger,The Queen Is Dead: A Jocelyn O'Roarke Mystery
0140158367,Richard Abshire,Turnaround Jack
0140158375,Sally Swain,Great Housewives of Art Revisited
0140158391,Steven Gilbar,The Reader's Quotation Book: A Literary Companion
014015843X,Jane Dentinger,Death Mask: A Jocelyn O'Roarke Mystery
0140158502,Robertson Davies,The Cornish Trilogy: The Rebel Angels/What's Bred in the Bone/the Lyre of Orpheus/3 Books in 1 Volume
0140158588,Carlo Ginzburg,Ecstasies: Deciphering the Witches' Sabbath
014015910X,Robertson Davies,The Salterton Trilogy
0140159142,Fay Weldon,Life Force
0140159231,Claire Tomalin,Mrs Jordans Profession IV
0140159320,Robertson Davies,Murther and Walking Spirits
0140159401,Peter D. Kramer,Listening to Prozac
0140159444,Thomas Boswell,Game Day: Sports Writings 1970-1990
0140159533,Barbara Trapido,Temples of Delight
014015969X,Pierre Salinger,Secret Dossier: The Hidden Agenda Behind the Gulf War
0140159703,Jessica Hagedorn,The Gangster of Love
0140159754,Nadine Gordimer,My Son's Story
0140159886,Nicholas P Hasluck,The Blosseville file
0140159908,Christopher Hill,The English Bible and the Seventeenth-Century Revolution
0140159916,Judy Chicago,Holocaust Project: From Darkness into Light
0140159924,William J. Kennedy,Riding the Yellow Trolley Car: Selected Nonfiction
0140159932,Andrea Gabor,Einstein's Wife: Work and Marriage in the Lives of Five Great Twentieth-Century Women
0140159940,Wallace Stegner,Beyond the Hundredth Meridian: John Wesley Powell and the Second Opening of the West
0140159959,Ray Monk,Ludwig Wittgenstein: The Duty of Genius
0140160000,Bruce Nussbaum,Good Intentions: How Big Business and the Medical Establishment Are Corrupting the Fight Against AIDS
0140161015,M.J. Farrel,Devoted Ladies (Virago Modern Classics)
0140161023,Mrs Oliphant,Hester: A Story of Contemporary Life (Virago Modern Classics)
0140161074,Vita Sackville-West,No Signposts in the Sea (Virago Modern Classics)
0140161082,Dawn Watkins,Jenny Wren (Virago Modern Classics)
0140161090,E. H. Young,The Curate's Wife (Virago Modern Classics)
0140161120,Margaret Kennedy,Troy Chimneys (Virago modern classics)
0140161163,George Eliot,The Lifted Veil (Virago Modern Classics)
0140161171,Betty Miller,On the Side of the Angels (Virago Modern Classics)
014016118X,Laura Talbot,The Gentlewomen (Virago Modern Classics)
014016121X,Storm Jameson,Women against men (Virago modern classics)
0140161252,Winifred Holtby,Poor Caroline (Virago Modern Classics)
0140161279,Catherine Carswell,Open the Door (Virago Modern Classics)
0140161473,Kay Boyle,My next bride (Virago modern classics)
0140161503,Eleanor Dark,The Little Company (Virago Modern Classics)
014016152x,Margaret Oliphant,Salem Chapel: Chronicles of Carlingford
0140161589,Barbara Comyns,Who Was Changed and Who Was Dead (Virago Modern Classics)
0140161627,E. H. Young,Chatterton Square (Virago Modern Classics)
0140161724,Dorothy Canfield,The Brimming Cup (Virago modern classics)
0140161767,Sylvia Townsend Warner,Summer Will Show (Virago Modern Classics)
0140161813,Lettice Cooper,The New House (Virago Modern Classics)
0140161899,Mrs. Oliphant,Miss Marjoribanks: Chronicles of Carlingford (Virago Classics)
0140161953,Pamela Frankau,The Willow Cabin (Virago Modern Classics)
0140161996,Rachel Ferguson,The Brontes Went to Woolworths (Virago Modern Classics)
0140162003,Nina Bawden,Tortoise by Candlelight (Virago Modern Classics)
0140162054,Nell Dunn,Up the Junction (Virago Modern Classics)
0140162089,Mary Webb,Armour Wherein He Trusted (Virago Modern Classics)
014016233X,Emily Eden,The Semi-Attached Couple &amp; the Semi-Detached House
0140165002,Uta Ranke-Heinemann,"Eunuchs for the Kingdom of Heaven: Women, Sexuality, and the Catholic Church"
0140165185,Oscar Hijuelos,Our House In the Last World
0140165215,David Lodge,Paradise News: A Novel
0140165223,Denis Johnson,Resuscitation of a Hanged Man (Contemporary American Fiction)
0140165320,Philip Hoare,Serious Pleasures: The Life of Stephen Tennant
0140165347,Nadine Gordimer,Jump and Other Stories
0140165525,Antony Sher,The Indoor Boy
0140165584,Joshua Halberstam,Everyday Ethics: Inspired Solutions to Real-Life Dilemmas
0140165592,Jakob Walter,The Diary of a Napoleonic Foot Soldier
0140165851,Hans Bemmann,The Broken Goddess
0140165886,Richard Osborne,Basic instinct: A novel
0140165940,Jane Langton,God in Concord (Homer Kelly Mysteries (Paperback))
0140165959,Rilla Askew,Strange Business
0140166025,Fred Metcalf,"The Penguin Dictionary of Jokes, Wisecracks, Quips, and Quotes"
0140166033,Margaret Drabble,The Gates of Ivory
014016622X,Joseph E. Persico,Nuremberg : Infamy on Trial
0140166289,John Haycraft,Italian Labyrinth
0140166467,Charles Higson,King of the Ants
0140166548,Alberto Manguel,A History of Reading
0140166823,Merrill Markoe,What the Dogs Have Taught Me : And Other Amazing Things I've Learned
0140166912,Wyn Craig Wade,The Titanic: End of a Dream
0140167064,Margaret Reynolds,The Penguin Book of Lesbian Short Stories
0140167102,Eugene Zamiatin,We
0140167110,John L'Heureux,The Shrine at Altamira (Contemporary American Fiction)
0140167137,Alex Stewart,Eorotemps (Roc S.)
0140167153,Joe Dominguez,Your Money or Your Life: Transforming Your Relationship With Money and Achieving Financial Independence
014016720X,Mike Gunderloy,The World of Zines: A Guide to the Independent Magazine Revolution
0140167285,David Lodge,Paradise News
0140167455,L. T. C. Rolt,Victorian Engineering
0140167730,Pete Dexter,Brotherly Love
0140167765,Jiri Weil,Mendelsohn Is on the Roof: A Novel
0140167897,Robertson Davies,Leaven of Malice (Salterton Trilogy)
0140167919,Robertson Davies,A Mixture of Frailties (Salterton Trilogy)
0140167927,Robertson Davies,Tempest Tost (Salterton Trilogy)
0140167935,Robertson Davies,The Manticore
0140167943,Robertson Davies,Fifth Business
014016796X,Robertson Davies,World of Wonders
0140168087,Patricia Grace,Cousins
0140168133,Georgia Savage,The House Tibet
0140168249,Mary Anne Staniszewski,Believing Is Seeing: Creating the Culture of Art
0140168346,James Barrett,Test Your Own Job Aptitude: Exploring Your Career Potential
0140168354,Regina Barreca,They Used to Call Me Snow White...but I Drifted: Women's Strategic Use of Humor
0140168389,Josephine Humphreys,The Fireman's Fair
0140168532,Ralph Wiley,Why Black People Tend to Shout: Cold Facts and Wry Views from a Black Man's World
0140168540,Mo Yan,Red Sorghum: A Novel of China
0140168559,Suzanne Juhasz,"Reading from the Heart: Women, Literature, and the Search for True Love"
0140168788,Pat Barker,The Eye in the Door
0140168842,Robertson Davies,Murther &amp; Walking Spirits
0140168893,Witold Rybczynski,Looking Around: A Journey Through Architecture
0140169083,Gus Silber,It takes two to toyi-toyi: A survival guide to the New South Africa
014016930X,Wallace Stegner,Angle of Repose (Contemporary American Fiction)
0140169512,Fitzpatrick Jean Grasso,Something More: Nurturing Your Child's Spiritual Growth
014016958X,John Mortimer,Rumpole on Trial
0140169598,Rita Rudner,Naked Beneath My Clothes: Tales of a Revealing Nature
0140169601,Millicent Dillon,The Portable Paul and Jane Bowles (Viking Portable Library)
0140169636,Paul Auster,The New York Trilogy: City of Glass/ Ghosts/ the Locked Room
0140169652,Emilie Carles,A Life of Her Own: The Transformation of a Countrywoman in Twentieth-Century France
0140169660,Susan Kenney,Garden of Malice
0140169822,Kenneth Clark,Leonardo Da Vinci
0140170022,Henry David Thoreau,Cape Cod (Penguin Nature Library)
0140170138,Henry David Thoreau,The Maine Woods (Penguin Nature Library)
0140170146,George Catlin,North American Indians (Penguin Nature Library)
0140170162,Bill McKibben,Birch Browsings: A John Burroughs Reader (Penguin Nature Library Series)
0140170170,John Muir,A Thousand-Mile Walk to the Gulf (Penguin Nanre Library Series)
0140170219,John Muir,Travels in Alaska (The Penguin Nature Library)
0140170227,John Tanner,The Falcon: A Narrative of the Captivity and Adventures of John Tanner/During Thirty Years Residence Among the Indians in the Interior of North Amer (Penguin Nature Library)
0140170413,Alistair Horne,The Price of Glory: Verdun 1916 (Penguin History)
014017043X,Georgelle Hirliman,Dear Writer in the Window: The Wit and Wisdom of a Sidewalk Sage
0140170480,Jack Whyte,A Dream of Eagles: The Eagles Brood
0140170499,Jack Whyte,A Dream of Eagles
0140170790,Margaret Visser,"The Rituals of Dinner: The Origins, Evolution, Eccentricities, and Meaning of Table Manners"
014017088X,Joseph Conrad,The Secret Agent
0140170944,Benita Eisler,O'Keeffe and Stieglitz: An American Romance
0140170960,James Lipton,An Exaltation of Larks: The Ultimate Edition
0140170987,David Lodge,Changing Places: A Tale of Two Campuses
0140171002,Emily Bronte,Wuthering Heights
0140171088,David Ruelle,Chance and Chaos
0140171177,Peter Ackroyd,The House of Doctor Dee
0140171223,Lillian Faderman,Odd Girls and Twilight Lovers: A History of Lesbian Life in Twentieth-Century America (Between Men--Between Women)
0140171231,Michael Frayn,Now You Know
0140171363,Aung San Suo Kyi,Freedom from Fear and Other Writings
0140171460,L.R. Wright,Prized Possessions
0140171606,John Ardagh,Ireland and the Irish: Portrait of a Changing Society
0140171649,Larry Dark,The Literary Lover: Great Contemporary Stories of Passion and Romance
0140171673,Roddy Doyle,The Snapper
0140171681,Paul Auster,"The Art of Hunger: Essays, Prefaces, Interviews and the Red Notebook"
0140171738,Philip K. Dick,Time Out of Joint
0140171789,Eric Russell Bentley,The Theory of the Modern Stage: An Introduction to Modern Theatre and Drama
0140171916,Roddy Doyle,The Van
0140171991,Robert Graves,The Greek Myths
0140172173,Paul Harrison,Inside the Third World: The Anatomy of Poverty (Penguin Politics)
0140172246,Jonathan Gash,The Great California Game
0140172270,Ferrol Sams,When All the World Was Young (Contemporary American Fiction)
0140172319,Carolyn Strom Collins,The Anne of Green Gables Treasury
0140172327,Iris Murdoch,Metaphysics As a Guide to Morals (Penguin Philosophy S.)
0140172343,Stanley Elkin,The MacGuffin (Contemporary American Fiction)
0140172459,Rebecca Goldstein,The Mind-Body Problem: A Novel (Contemporary American Fiction)
0140172483,Lillian Faderman,Chloe Plus Olivia: An Anthology of Lesbian Literature from the Seventeenth Century to the Present
0140172505,Anne Deveson,Tell Me I'm Here
0140172645,Geoffrey Robertson,"Freedom, the Individual and the Law (Penguin Law S.)"
0140172734,Leonore Fleischer,Hero
0140172793,Robert Thurston,1492
0140172874,Brian Maracle,Crazywater: Native Voices on Addiction and Recovery
0140172947,Regina Barreca,The Penguin Book of Women's Humor
0140172971,David Lodge,A David Lodge Trilogy
0140173048,Will Self,Cock and Bull
0140173188,Michael Lewis,The Money Culture
0140173196,Leslie Silko,Almanac of the Dead: A Novel
014017320X,John Steinbeck,Of Mice and Men: The Play
0140173226,John Steinbeck,Zapata
0140173242,Nina Fitzpatrick,Fables of the Irish Intelligentsia
0140173250,Lee Grove,Drowning (Contemporary American Fiction)
0140173277,Mary Wesley,A Dubious Legacy
0140173331,Ruth Park,Fence Around the Cuckoo Park
0140173633,Graham Greene,Three Entertainments: A Gun for Sale/the Confidential Agent/the Ministry of Fear
0140173765,Jane Langton,Divine Inspiration: A Homer Kelly Mystery (Homer Kelly Mysteries (Paperback))
0140173773,Jane Langton,The Shortest Day: Murder at the Revels (Homer Kelly Mysteries (Paperback))
0140174028,Wallace Stegner,Where the Bluebird Sings to the Lemonade Springs: Living and Writing in the West
0140174036,Bernard Cooper,A Year of Rhymes
0140174206,Alan Epstein,How to Be Happier Day by Day: A Year of Mindul Actions
0140174214,David Lodge,The Picturegoers
014017432X,Josephine Humphreys,Rich in Love
0140174397,Barbara Neely,Blanche on the Lam
0140174508,Michael Rosen,Penguin Book of Childhood
0140174567,Michael Cader,"The Cat Who Would Be President: Or, How I Clawed My Way to the Top"
0140174664,Grant Naylor,Red Dwarf Omnibus
0140174761,Edward R.F. Sheehan,Innocent Darkness
0140174923,David Lodge,The Art of Fiction: Illustrated from Classic and Modern Texts
0140175032,Darryl Pinckney,High Cotton (Contemporary American Fiction)
014017513X,Tom Milne,"The Time Out Film Guide/the Definitive A-Z Directory of over 10,000 Films (\Time Out\"" Guides)"""
014017530X,Angela Carter,Wise Children
0140175326,Colm Toibin,The Heather Blazing
0140175369,Stephen E. Ambrose,Rise to Globalism: American Foreign Policy Since 1938
0140175598,Gary Gygax,Dangerous Journeys: The Samarkand Solution
0140175679,Olga Silverstein,The Courage to Raise Good Men
0140175695,John Ed Bradley,Love &amp; Obits (Contemporary American Fiction)
0140175903,Erica Bauermeister,500 Great Books by Women: A Reader's Guide
0140175954,John Mortimer,The Rapstone Chronicles: Paradise Postponed/Titmuss Regained
0140175962,Joyce Tyldesley,Daughters of Isis: Women of Ancient Egypt (Penguin History)
0140176233,William T. Vollmann,The Rifles: A Book of North American Landscapes (Seven Dreams)
0140176241,Mary Clearman Blew,Balsamroot: A Memoir
0140176306,Jonathan Gash,The Lies of Fair Ladies (Lovejoy Mystery)
0140176314,William Cole,Quotable New York: A Literary Companion
0140176489,Colin Robson,"Experiment, Design and Statistics in Psychology (Penguin Psychology S.)"
0140176500,Anita Brookner,Fraud
0140176551,Fred Moody,I Sing the Body Electronic: A Year With Microsoft on the Multimedia Frontier
0140176608,Clive Ponting,A Green History of the World: The Environment and the Collapse of Great Civilizations
0140176616,Barbara Vine,Asta's Book
0140176640,Robert Olen Butler,A Good Scent from a Strange Mountain: Stories
0140176845,John Mortimer,The Best of Rumpole
0140177035,Richard Kluger,The Sheriff of Nottingham
0140177043,Guy Gavriel Kay,Tigana (Roc S.)
0140177078,Nadine Gordimer,Occasion for Loving
0140177116,Joel Makower,The Green Consumer (A Tilden Press Book)
0140177159,Alexander Stille,Benevolence and Betrayal: Five Italian Jewish Families Under Fascism
0140177213,Marion Zimmer Bradley,Forest House
0140177256,Bernard Cornwell,Crackdown Uk
0140177353,John Mortimer,Murderers and Other Friends
0140177361,John Steinbeck,The Red Pony (Penguin Great Books of the 20th Century)
014017737X,John Steinbeck,The Pearl
0140177388,John Steinbeck,Cannery Row
0140177396,John Steinbeck,Of Mice and Men (Penguin Great Books of the 20th Century)
0140177507,William Dietrich,The Final Forest: The Battle for the Last Great Trees of the Pacific Northwest
0140177558,David B. Pirie,"The Romantic Period (Penguin History of Literature, Vol 5)"
0140177582,Marcus Cunliffe,"American Literature to 1900 (Penguin History of Literature, Vol 8)"
0140177671,Jill Tweedie,"Eating Children: With, Frightening People (Fragments)"
0140177884,Jennifer Ackerman,Notes from the Shore
0140177914,Christopher Coe,Such Times
0140177922,John R. Gribbin,In the Beginning: The Birth of the Living Universe
0140177981,Sarah Weddington,A Question of Choice
014017799X,Michael Cader,Meditations for Cats Who Do Too Much
0140178139,Paul Auster,Leviathan (Contemporary American Fiction)
0140178198,Jack Kerouac,The Portable Jack Kerouac (The Viking Portable Library)
014017821X,Angela Carter,The Bloody Chamber and Other Stories
0140178244,Marc Reisner,Cadillac Desert: The American West and Its Disappearing Water
0140178260,Meg Pei,Salaryman
0140178384,Matthew Spender,Within Tuscany/Reflections on a Time and Place
0140178392,T. Coraghessan Boyle,Without a Hero: Stories
0140178406,Nancy Atherton,Aunt Dimity's Death (Aunt Dimity (Paperback))
0140178414,Nancy Atherton,Aunt Dimity and the Duke (Penguin Crime Fiction)
0140178422,Phillip Herring,Djuna: The Life and Work of Djuna Barnes
0140178724,Geoff Ryman,Was
0140178732,Jess Mowry,Rats in the Trees: Stories (Contemporary American Fiction)
0140178740,Jack Cohen,The Collapse of Chaos: Discovering Simplicity in a Complex World (Penguin Press Science S.)
0140178783,Jay Ingram,The Burning House
0140178821,National Gardening Assoication,Dictionary of Horticulture
0140178929,Amanda Filipacchi,Nude Men
0140178945,Blanche Wiesen Cook,"Eleanor Roosevelt : Volume 2 , The Defining Years, 1933-1938"
014017897X,Michel De Montaigne,Essays (Penguin Classics)
0140179062,Jack Kerouac,Maggie Cassidy
0140179178,Don DeLillo,Great Jones Street (Contemporary American Fiction)
0140179194,Roger D. Abrahams,Singing the Master: The Emergence of African-American Culture in the Plantation South
0140179208,Linda A. Hill,Becoming a Manager: Mastery of a New Identity
0140179216,Fernando Arrabal,The Red Virgin: A Novel
0140179224,Mary Cantwell,American Girl: Scenes from a Small-Town Childhood
0140179372,Gretel Ehrlich,A Match to the Heart/One Woman's Story of Being Struck by Lightning
0140179496,Richard Cook,"The Penguin Guide to Jazz on Cd, Lp and Cassette"
0140179518,Carol Shields,Happenstance: The Wife's Story/the Husband's Story/Two Novels in One About a Marriage in Transition
0140179658,Mark Tully,The Heart of India
0140179704,Clinton Heylin,From the Velvets to the Voidoids: A Pre-Punk History for a Post-Punk World
0140179755,Ernest Hillen,The Way of a Boy: A Memoir of Java
0140179836,Mary Karr,The Liar's Club: A Memoir
014018001X,W. B. Yeats,"Writings on Irish Folklore, Legend and Myth (Penguin Twentieth-Century Classics)"
014018015X,Arnold Bennett,Anna of the Five Towns (Penguin Classics)
0140180206,Albert Camus,Plague
0140180303,Joseph Conrad,Almayer's Folly (Penguin Great Books of the 20th Century)
0140180346,Joseph Conrad,The Rescue: A Romance of the Shallows (Penguin Great Books of the 20th Century)
0140180575,F.Scott Fitzgerald,The Beautiful and Damned (Twentieth Century Classics S.)
0140180788,E M Forster,Room With a View
0140180818,Ford Madox Ford,The Good Soldier: A Tale of Passion (Twentieth Century Classics S.)
0140180826,E M Forster,Maurice
0140180869,E M Forster,Longest Journey
0140180885,E M Forster,Where Angels Fear to Tread
0140180907,Joseph Conrad,Heart of Darkness (Penguin Classics)
0140180923,Joseph Conrad,Lord Jim (Penguin Classics)
014018094X,Joseph Conrad,The Nigger of the 'Narcissus' (Classic)
0140180966,Joseph Conrad,The Secret Agent: A Simple Tale (Penguin Twentieth-Century Classics)
0140180974,Joseph Conrad,The Shadow-Line: A Confession (20th Century Classics)
0140181199,Arthur Koestler,Arrival and Departure (20th Century Classics)
0140181350,Carson Mccullers,Reflections In a Golden Eye
0140181377,Heinrich Mann,Man of Straw (Penguin Twentieth-Century Classics)
0140181466,Katherine Mansfield,Bliss and Other Stories (Penguin Twentieth Century Classics)
0140181547,Arthur Miller,The Crucible
0140181555,Arthur Miller,Death of a Salesman (Penguin Twentieth Century Classics S.)
0140181733,Alan Paton,Cry the Beloved Country
0140181849,Gertrude Stein,Three Lives (Penguin Twentieth-Century Classics)
0140181873,Rabindranath Tagore,The Home and the World (Penguin Twentieth Century Classics)
0140181881,H. G. Wells,Selected Short Stories (Penguin Twentieth-Century Classics)
